Rank;Country or Area;Subgroup;Year;Source;Unit;Value;Value Footnotes
1;Afghanistan;Female;2004;UNESCO_UIS Database_Sep2007;Percent;-;1
2;Afghanistan;Female;2003;UNESCO_UIS Database_Sep2007;Percent;-;2
3;Afghanistan;Male;2004;UNESCO_UIS Database_Sep2007;Percent;2;
4;Afghanistan;Male;2003;UNESCO_UIS Database_Sep2007;Percent;2;3
5;Albania;Female;2004;UNESCO_UIS Database_Sep2007;Percent;23;
6;Albania;Female;2003;UNESCO_UIS Database_Sep2007;Percent;20;
7;Albania;Female;2002;UNESCO_UIS Database_Sep2007;Percent;20;
8;Albania;Female;2001;UNESCO_UIS Database_Sep2007;Percent;19;
9;Albania;Female;2000;UNESCO_UIS Database_Sep2007;Percent;19;
10;Albania;Female;1999;UNESCO_UIS Database_Sep2007;Percent;18;
11;Albania;Male;2004;UNESCO_UIS Database_Sep2007;Percent;15;
12;Albania;Male;2003;UNESCO_UIS Database_Sep2007;Percent;13;
13;Albania;Male;2002;UNESCO_UIS Database_Sep2007;Percent;13;
14;Albania;Male;2001;UNESCO_UIS Database_Sep2007;Percent;13;
15;Albania;Male;2000;UNESCO_UIS Database_Sep2007;Percent;13;
16;Albania;Male;1999;UNESCO_UIS Database_Sep2007;Percent;13;
17;Algeria;Female;2005;UNESCO_UIS Database_Sep2007;Percent;24;
18;Algeria;Female;2004;UNESCO_UIS Database_Sep2007;Percent;20;
19;Algeria;Male;2005;UNESCO_UIS Database_Sep2007;Percent;17;
20;Algeria;Male;2004;UNESCO_UIS Database_Sep2007;Percent;19;
21;Andorra;Female;2005;UNESCO_UIS Database_Sep2007;Percent;9;4
22;Andorra;Female;2004;UNESCO_UIS Database_Sep2007;Percent;9;4
23;Andorra;Female;2003;UNESCO_UIS Database_Sep2007;Percent;9;4
24;Andorra;Female;2002;UNESCO_UIS Database_Sep2007;Percent;8;4
25;Andorra;Male;2005;UNESCO_UIS Database_Sep2007;Percent;8;4
26;Andorra;Male;2004;UNESCO_UIS Database_Sep2007;Percent;9;4
27;Andorra;Male;2003;UNESCO_UIS Database_Sep2007;Percent;9;4
28;Andorra;Male;2002;UNESCO_UIS Database_Sep2007;Percent;7;4
29;Angola;Female;2002;UNESCO_UIS Database_Sep2007;Percent;1;4
30;Angola;Female;1999;UNESCO_UIS Database_Sep2007;Percent;-;1
31;Angola;Male;2002;UNESCO_UIS Database_Sep2007;Percent;1;4
32;Angola;Male;1999;UNESCO_UIS Database_Sep2007;Percent;1;
33;Anguilla;Female;2005;UNESCO_UIS Database_Sep2007;Percent;5;3
34;Anguilla;Female;2004;UNESCO_UIS Database_Sep2007;Percent;3;3
35;Anguilla;Female;2003;UNESCO_UIS Database_Sep2007;Percent;3;3
36;Anguilla;Female;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
37;Anguilla;Female;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
38;Anguilla;Female;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
39;Anguilla;Female;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
40;Anguilla;Male;2005;UNESCO_UIS Database_Sep2007;Percent;2;3
41;Anguilla;Male;2004;UNESCO_UIS Database_Sep2007;Percent;1;3
42;Anguilla;Male;2003;UNESCO_UIS Database_Sep2007;Percent;-;1
43;Anguilla;Male;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
44;Anguilla;Male;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
45;Anguilla;Male;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
46;Anguilla;Male;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
47;Antigua and Barbuda;Female;2004;UNESCO_UIS Database_Sep2007;Percent;…;5
48;Antigua and Barbuda;Female;2003;UNESCO_UIS Database_Sep2007;Percent;…;5
49;Antigua and Barbuda;Female;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
50;Antigua and Barbuda;Female;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
51;Antigua and Barbuda;Female;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
52;Antigua and Barbuda;Female;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
53;Antigua and Barbuda;Male;2004;UNESCO_UIS Database_Sep2007;Percent;…;5
54;Antigua and Barbuda;Male;2003;UNESCO_UIS Database_Sep2007;Percent;…;5
55;Antigua and Barbuda;Male;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
56;Antigua and Barbuda;Male;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
57;Antigua and Barbuda;Male;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
58;Antigua and Barbuda;Male;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
59;Argentina;Female;2004;UNESCO_UIS Database_Sep2007;Percent;76;
60;Argentina;Female;2003;UNESCO_UIS Database_Sep2007;Percent;77;
61;Argentina;Female;2002;UNESCO_UIS Database_Sep2007;Percent;73;
62;Argentina;Female;2001;UNESCO_UIS Database_Sep2007;Percent;69;
63;Argentina;Female;2000;UNESCO_UIS Database_Sep2007;Percent;65;3
64;Argentina;Female;1999;UNESCO_UIS Database_Sep2007;Percent;60;
65;Argentina;Male;2004;UNESCO_UIS Database_Sep2007;Percent;54;
66;Argentina;Male;2003;UNESCO_UIS Database_Sep2007;Percent;51;
67;Argentina;Male;2002;UNESCO_UIS Database_Sep2007;Percent;49;
68;Argentina;Male;2001;UNESCO_UIS Database_Sep2007;Percent;47;
69;Argentina;Male;2000;UNESCO_UIS Database_Sep2007;Percent;42;3
70;Argentina;Male;1999;UNESCO_UIS Database_Sep2007;Percent;37;
71;Armenia;Female;2005;UNESCO_UIS Database_Sep2007;Percent;31;
72;Armenia;Female;2004;UNESCO_UIS Database_Sep2007;Percent;29;
73;Armenia;Female;2003;UNESCO_UIS Database_Sep2007;Percent;26;
74;Armenia;Female;2002;UNESCO_UIS Database_Sep2007;Percent;28;
75;Armenia;Female;2001;UNESCO_UIS Database_Sep2007;Percent;26;
76;Armenia;Female;2000;UNESCO_UIS Database_Sep2007;Percent;25;
77;Armenia;Female;1999;UNESCO_UIS Database_Sep2007;Percent;25;
78;Armenia;Male;2005;UNESCO_UIS Database_Sep2007;Percent;25;
79;Armenia;Male;2004;UNESCO_UIS Database_Sep2007;Percent;24;
80;Armenia;Male;2003;UNESCO_UIS Database_Sep2007;Percent;24;
81;Armenia;Male;2002;UNESCO_UIS Database_Sep2007;Percent;25;
82;Armenia;Male;2001;UNESCO_UIS Database_Sep2007;Percent;23;
83;Armenia;Male;2000;UNESCO_UIS Database_Sep2007;Percent;23;
84;Armenia;Male;1999;UNESCO_UIS Database_Sep2007;Percent;22;
85;Aruba;Female;2005;UNESCO_UIS Database_Sep2007;Percent;40;4
86;Aruba;Female;2004;UNESCO_UIS Database_Sep2007;Percent;34;4
87;Aruba;Female;2003;UNESCO_UIS Database_Sep2007;Percent;34;4
