"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","-","1"
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","-","2"
"Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Percent","2",""
"Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Percent","2","3"
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Percent","23",""
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Percent","20",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Percent","20",""
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Percent","19",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Percent","19",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Percent","18",""
"Albania","Male","2004","UNESCO_UIS Database_Sep2007","Percent","15",""
"Albania","Male","2003","UNESCO_UIS Database_Sep2007","Percent","13",""
"Albania","Male","2002","UNESCO_UIS Database_Sep2007","Percent","13",""
"Albania","Male","2001","UNESCO_UIS Database_Sep2007","Percent","13",""
"Albania","Male","2000","UNESCO_UIS Database_Sep2007","Percent","13",""
"Albania","Male","1999","UNESCO_UIS Database_Sep2007","Percent","13",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","24",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","20",""
"Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Percent","17",""
"Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Percent","19",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Percent","9","4"
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Percent","9","4"
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Percent","9","4"
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Percent","8","4"
"Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Percent","8","4"
"Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Percent","9","4"
"Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Percent","9","4"
"Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Percent","7","4"
"Angola","Female","2002","UNESCO_UIS Database_Sep2007","Percent","1","4"
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Percent","-","1"
"Angola","Male","2002","UNESCO_UIS Database_Sep2007","Percent","1","4"
"Angola","Male","1999","UNESCO_UIS Database_Sep2007","Percent","1",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Percent","5","3"
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Percent","3","3"
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Percent","3","3"
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Male","2005","UNESCO_UIS Database_Sep2007","Percent","2","3"
"Anguilla","Male","2004","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Anguilla","Male","2003","UNESCO_UIS Database_Sep2007","Percent","-","1"
"Anguilla","Male","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Male","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Male","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Anguilla","Male","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","2004","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","2003","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","2004","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","2003","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Antigua and Barbuda","Male","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Argentina","Female","2004","UNESCO_UIS Database_Sep2007","Percent","76",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Percent","77",""
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Percent","73",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Percent","69",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Percent","65","3"
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Percent","60",""
"Argentina","Male","2004","UNESCO_UIS Database_Sep2007","Percent","54",""
"Argentina","Male","2003","UNESCO_UIS Database_Sep2007","Percent","51",""
"Argentina","Male","2002","UNESCO_UIS Database_Sep2007","Percent","49",""
"Argentina","Male","2001","UNESCO_UIS Database_Sep2007","Percent","47",""
"Argentina","Male","2000","UNESCO_UIS Database_Sep2007","Percent","42","3"
"Argentina","Male","1999","UNESCO_UIS Database_Sep2007","Percent","37",""
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","31",""
"Armenia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","29",""
"Armenia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","26",""
"Armenia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","28",""
"Armenia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","26",""
"Armenia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","25",""
